Year,Simulated_Yt
1970,37068.78733723299
1971,37027.037971405436
1972,36985.34132724728
1973,36943.69754299466
1974,36902.10676374768
1975,36860.569141707245
1976,36819.08483641991
1977,36777.65401503081
1978,36736.27685254497
1979,36694.95353209742
1980,36653.68424523205
1981,36612.46919218975
1982,36571.308582205944
1983,36530.202633817884
1984,36489.151575181895
1985,36448.15564440087
1986,36407.21508986239
1987,36366.330170587644
1988,36325.50115659149
1989,36284.72832925397
1990,36244.01198170353
1991,36203.35241921232
1992,36162.749959603854
1993,36122.20493367323
1994,36081.71768562044
1995,36041.28857349685
1996,36000.91796966537
1997,35960.6062612744
1998,35920.3538507461
1999,35880.16115627908
2000,35840.02861236595
2001,35799.956670326035
2002,35759.94579885335
2003,35719.996484580464
2004,35680.10923265819
2005,35640.284567351635
2006,35600.52303265267
2007,35560.825192909244
2008,35521.19163347161
2009,35481.62296135582
2010,35442.119805924616
2011,35402.68281958589
2012,35363.31267850888
2013,35324.010083358306
2014,35284.775760046374
2015,35245.6104605029
2016,35206.51496346354
2017,35167.49007527596
2018,35128.5366307242
2019,35089.6554938709
2020,35050.84755891736
2021,35012.11375108117
2022,34973.45502749127
2023,34934.87237810004
2024,34896.36682661205
2025,34857.9394314291
2026,34819.59128661082
2027,34781.3235228505
2028,34743.137308465244
2029,34705.033850399624
2030,34667.01439524212
2031,34629.08023025314
2032,34591.23268440357
2033,34553.47312942269
2034,34515.80298085382
2035,34478.22369911646
2036,34440.73679057304
2037,34403.34380859859
2038,34366.04635465124
2039,34328.84607934141
2040,34291.7446834974
2041,34254.743919224864
2042,34217.8455909572
2043,34181.051556494305
2044,34144.363728026314
2045,34107.78407313885
2046,34071.3146157965
2047,34034.95743730046
2048,33998.71467721622
2049,33962.58853426727
2050,33926.58126718983
2051,33890.69519554416
2052,33854.93270047705
2053,33819.29622543033
2054,33783.78827678959
2055,33748.411424467435
2056,33713.16830241487
2057,33678.06160905457
2058,33643.09410762929
2059,33608.26862645847
2060,33573.58805909598
2061,33539.05536438148
2062,33504.673566377875
2063,33470.445754187145
2064,33436.37508163643
2065,33402.464766826524
2066,33368.718091534254
2067,33335.138400460826
2068,33301.7291003174
2069,33268.49365874001
